LAT,,,,,20.4737,20.4737,20.4737,20.4737
LON,,,,,106.023,106.023,106.023,106.023
ASL,,,,,4,4,4,4
CITY,,,,,Hà Nội,Hà Nội,Hà Nội,Hà Nội
DOMAIN,,,,,NEMSGLOBAL,NEMSGLOBAL,NEMSGLOBAL,NEMSGLOBAL
LEVEL,,,,,2 m above gnd,sfc,10 m above gnd,10 m above gnd
NAME,,,,,Temperature,Total Precipitation,Wind Speed,Wind Direction
UNIT,,,,,°C,mm,km/h,°
AGGREGATION,,,,,,,,
UTC_OFFSET,,,,,7,7,7,7
,,,,,,,,
Year,Month,Day,Hour,Minute,Temperature,Total_Precipitation,Wind_Speed,Wind_Direction
2021,11,25,22,0,19.401821,0,5.82,111.8
2021,11,25,23,0,19.311821,0,5.01,111.04
2021,11,26,0,0,19.03182,0,4.02,100.3
2021,11,26,1,0,18.811821,0,3.24,90
2021,11,26,2,0,18.611822,0,2.31,51.34
2021,11,26,3,0,18.091822,0,2.28,18.43
2021,11,26,4,0,17.79182,0,2.52,360
2021,11,26,5,0,17.521822,0,3.42,341.57
2021,11,26,6,0,16.821821,0,4.35,335.56
2021,11,26,7,0,17.88182,0,5.32,331.7
2021,11,26,8,0,19.72182,0,6.29,336.37
2021,11,26,9,0,21.261822,0,7.29,339.78
2021,11,26,10,0,22.731821,0,7.59,354.56
2021,11,26,11,0,23.771822,0,8.12,12.8
2021,11,26,12,0,24.691822,0,8.71,29.74
2021,11,26,13,0,25.47182,0,8.91,43.36
2021,11,26,14,0,25.601822,0,9.39,57.53
2021,11,26,15,0,25.571821,0,10.25,71.57
2021,11,26,16,0,25.401821,0,11.54,86.42
2021,11,26,17,0,23.70182,0,12.32,96.71
2021,11,26,18,0,22.151821,0,11.17,110.77
2021,11,26,19,0,20.861822,0,11.09,125.75
2021,11,26,20,0,20.46182,0,9.5,127.3
2021,11,26,21,0,20.421822,0,8.44,129.81
2021,11,26,22,0,20.561821,0,6.64,130.6
2021,11,26,23,0,20.411821,0,4.61,128.66
2021,11,27,0,0,19.861822,0,3.08,110.56
2021,11,27,1,0,19.591822,0,2.19,80.54
2021,11,27,2,0,18.761822,0,2.1,30.96
2021,11,27,3,0,18.181822,0,3.22,26.57
2021,11,27,4,0,18.22182,0,4.02,26.57
2021,11,27,5,0,18.111822,0,4.02,26.57
2021,11,27,6,0,17.96182,0,4.2,30.96
2021,11,27,7,0,18.651821,0,4.2,30.96
2021,11,27,8,0,20.521822,0,4.61,38.66
2021,11,27,9,0,22.111822,0,5.12,50.71
2021,11,27,10,0,23.571821,0,5.8,60.26
2021,11,27,11,0,24.501822,0,6.73,74.48
2021,11,27,12,0,25.351822,0,8.31,85.03
2021,11,27,13,0,26.111822,0,10.08,90
2021,11,27,14,0,25.97182,0,11.93,95.19
2021,11,27,15,0,25.661821,0,13.85,98.97
2021,11,27,16,0,25.101822,0,14.69,101.31
2021,11,27,17,0,23.441822,0,14.76,102.68
2021,11,27,18,0,22.171822,0,13.71,103.67
2021,11,27,19,0,21.321821,0.1,8.64,90
2021,11,27,20,0,20.761822,0.1,7.92,90
2021,11,27,21,0,20.12182,0.1,6.84,90
2021,11,27,22,0,19.95182,0,6.13,86.63
2021,11,27,23,0,19.88182,0,5.45,82.41
2021,11,28,0,0,19.62182,0,5.24,74.05
2021,11,28,1,0,19.321821,0,4.83,63.43
2021,11,28,2,0,18.981821,0,4.84,48.01
2021,11,28,3,0,18.671822,0.2,4.33,48.37
2021,11,28,4,0,18.37182,0.2,4.07,45
2021,11,28,5,0,17.811821,0.2,3.83,41.19
2021,11,28,6,0,17.14182,0.2,3.89,33.69
2021,11,28,7,0,18.28182,0.2,3.71,29.05
2021,11,28,8,0,20.181822,0.3,4.2,30.96
2021,11,28,9,0,21.691822,0.2,4.51,28.61
2021,11,28,10,0,23.091822,0.2,4.69,32.47
2021,11,28,11,0,23.97182,0.1,5.19,33.69
2021,11,28,12,0,24.741821,0.1,5.9,37.57
2021,11,28,13,0,25.37182,0,6.92,38.66
2021,11,28,14,0,25.521822,0,7.93,39.47
2021,11,28,15,0,25.521822,0.1,8.91,43.36
2021,11,28,16,0,25.361822,0.1,9.42,43.45
2021,11,28,17,0,24.001822,0.1,9.42,43.45
2021,11,28,18,0,22.63182,0.3,8.4,43.26
2021,11,28,19,0,21.601822,0,10.45,88.03
2021,11,28,20,0,20.921822,0,9.39,85.6
2021,11,28,21,0,20.71182,0,8.4,80.13
2021,11,28,22,0,20.611822,0,7.42,75.96
2021,11,28,23,0,20.38182,0,6.62,67.62
2021,11,29,0,0,20.501822,0.1,5.99,57.26
2021,11,29,1,0,20.181822,0.2,5.62,50.19
2021,11,29,2,0,20.111822,0.3,5.62,39.81
2021,11,29,3,0,19.841822,0.4,5.4,36.87
2021,11,29,4,0,19.46182,0.4,5.62,39.81
2021,11,29,5,0,19.12182,0.4,5.6,45
2021,11,29,6,0,18.921822,0.4,5.62,50.19
2021,11,29,7,0,19.741821,0.4,5.69,55.3
2021,11,29,8,0,21.70182,0.4,6.44,63.43
2021,11,29,9,0,23.21182,0.3,6.83,71.57
2021,11,29,10,0,24.62182,0.3,6.83,71.57
2021,11,29,11,0,25.64182,0.4,6.64,77.47
2021,11,29,12,0,26.55182,0,7.21,87.14
2021,11,29,13,0,27.331821,0,8.31,94.97
2021,11,29,14,0,27.341822,0,9.96,102.53
2021,11,29,15,0,27.21182,0,11.84,109.54
2021,11,29,16,0,26.921822,0,13.24,112.38
2021,11,29,17,0,25.101822,0,13.85,114.57
2021,11,29,18,0,23.241821,0,13.68,116.57
2021,11,29,19,0,21.89182,0,13.28,122.83
2021,11,29,20,0,21.361822,0,12.03,128.93
2021,11,29,21,0,21.081821,0,9.69,131.99
2021,11,29,22,0,21.011822,0,8.16,138.58
2021,11,29,23,0,21.021822,0,6.64,139.4
2021,11,30,0,0,20.861822,0,4.84,138.01
2021,11,30,1,0,20.46182,0,3.32,130.6
2021,11,30,2,0,20.761822,0,2.62,105.95
2021,11,30,3,0,20.771822,0,2.52,90
2021,11,30,4,0,20.761822,0,2.97,75.96
2021,11,30,5,0,20.581821,0,3.08,69.44
2021,11,30,6,0,20.441822,0,3.32,77.47
2021,11,30,7,0,20.47182,0,3.67,78.69
2021,11,30,8,0,20.72182,0,3.62,84.29
2021,11,30,9,0,20.89182,0,3.96,90
2021,11,30,10,0,21.14182,0,4.69,94.4
2021,11,30,11,0,21.751822,0,5.51,101.31
2021,11,30,12,0,22.45182,0,6.38,106.39
2021,11,30,13,0,22.911821,0,7.75,111.8
2021,11,30,14,0,23.611822,0,9.36,112.62
